,IATA,ICAO,Airline,Call sign,Country,Comments
1875,,NCP,Capital Airlines Limited,CAPITAL SHUTTLE,Nigeria,
1876,PT,CCI,Capital Cargo International Airlines,CAPPY,United States,Allocation deleted 2013
1877,,CCQ,Capital City Air Carriers,CAP CITY,United States,
1878,,EGL,Capital Trading Aviation,PRESTIGE,United Kingdom,
1879,,CEX,Capitol Air Express,CAPITOL EXPRESS,United States,
1880,,CWZ,Capitol Wings Airline,CAPWINGS,United States,
1881,,VAN,Caravan Air,CAMEL,Mauritania,
1882,,CWN,Cardiff Wales Flying Club,CAMBRIAN,United Kingdom,
1883,,FVA,Cardinal/Air Virginia,AIR VIRGINIA,United States,
1884,,GOL,Cardolaar,CARGOLAAR,Namibia,
1885,,CDI,Cards Air Services,CARDS,Philippines,
1886,,CFH,Care Flight,CARE FLIGHT,Australia,
1887,,CDM,Carga Aérea Dominicana,CARGA AEREA,Dominican Republic,
1888,,EST,Carga Express Internacional,CARGAINTER,Mexico,
1889,GG,GGC,Cargo 360,LONG-HAUL,United States,
1890,,MCX,Cargo Express,MAURICARGO,Mauritania,
1891,,CRV,Cargo Ivoire,CARGOIV,Ivory Coast,
1892,,CLM,Cargo Link (Caribbean),CARGO LINK,Barbados,
1893,,CLA,Cargo Logic Air,FIREBIRD,United Kingdom,
1894,,CTW,Cargo Three,THIRD CARGO,Panama,
1895,2G,CRG,Cargoitalia,WHITE PELICAN,Italy,
1896,W8,CJT,Cargojet Airways,CARGOJET,Canada,
1897,CV,CLX,Cargolux,CARGOLUX,Luxembourg,
1898,C8,ICV,Cargolux Italia,CARGO MED,Italy,
1899,,CGM,Cargoman,HOTEL CHARLIE,Oman,
1900,,DEL,Carib Aviation,RED TAIL,Antigua and Barbuda,
1901,,BCB,Carib Express,WAVEBIRD,Barbados,
1902,,PWD,CARIBAIR,CARIBAIR,Dominican Republic,
1903,,DCC,Caribbean Air Cargo,CARICARGO,Barbados,
1904,,CLT,Caribbean Air Transport,CARIBBEAN,Netherlands,ICAO Code and callsign no longer allocated
1905,,CLT,Club Aerocelta de Vuelo Con Motor,,Spain,
1906,BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago,
1907,,IQQ,Caribbean Airways,CARIBJET,Barbados,
1908,,CSX,Choice Airways,CHOICE AIR,United States,
1909,,TLC,Caribbean Express,CARIB-X,United States,
1910,8B,GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda,
1911,,CRB,Caricom Airways,CARIBBEAN COMMUTER,Suriname,
1912,,CRT,Caribintair,CARIBINTAIR,Haiti,
1913,,CVG,Carill Aviation,CARILL,United Kingdom,
1914,V3,KRP,Carpatair,CARPATAIR,Romania,
1915,,CRR,Carranza,CARRANZA,Chile,defunct
1916,,ULS,Carroll Air Service,ULSTER,United States,
1917,,CMT,Casement Aviation,CASEMENT,United States,
1918,,CSO,Casino Airline,CASAIR,United States,
1919,,CSP,Casper Air Service,CASPER AIR,United States,
1920,RV,CPN,Caspian Airlines,CASPIAN,Iran,
1921,,CSJ,Castle Aviation,CASTLE,United States,
1922,,CAZ,Cat Aviation,EUROCAT,Switzerland,
1923,,CBT,Catalina Flying Boats,CATALINA AIR,United States,
1924,,TEX,Catex,CATEX,France,
1925,CX,CPA,Cathay Pacific,CATHAY,Hong Kong,
1926,,CJR,Caverton Helicopters,CAVERTON AIR,Nigeria,
1927,KX,CAY,Cayman Airways,CAYMAN,Cayman Islands,
1928,5J,CEB,Cebu Pacific,CEBU,Philippines,
1929,,CIL,Cecil Aviation,CECIL,United Kingdom,
1930,,CEG,Cega Aviation,CEGA,United Kingdom,
1931,,CEC,Celtic Airways,CELTAIR,United Kingdom,
1932,,CWE,Celtic West,CELTIC,United Kingdom,
1933,,CEV,Centre d'Essais en Vol,CENTEV,France,
1934,,CNL,Centennial Airlines,WYO-AIR,United States,
1935,,CNS,Cobalt Air LLC,CHRONOS,United States,
1936,,CVO,Center Vol,CENTERVOL,Spain,
1937,,CTS,Center-South,CENTER-SOUTH,Russia,
1938,,CET,Centrafrican Airlines,CENTRAFRICAIN,Central African Republic,
1939,,CAX,Central Air Express,CENTRAL EXPRESS,Democratic Republic of the Congo,
1940,,CTL,Central Airlines,CENTRAL COMMUTER,United States,
1941,,CNY,Central Airways,CENTRAL LEONE,Sierra Leone,
1942,,ACN,Central American Airlines,AEROCENTRO,Nicaragua,
1943,,YOG,Central Aviation,YOGAN AIR,United States,
1944,,DRN,Central De Discos De Reynosa,DISCOS REYNOSA,Mexico,
1945,,CMA,Central European Airlines,EUROCENTRAL,Czech Republic,
1946,,CHA,Central Flying Service,CHARTER CENTRAL,United States,
1947,,CEM,Central Mongolia Airways,CENTRAL MONGOLIA,Mongolia,
1948,9M,GLR,Central Mountain Air,GLACIER,Canada,
1949,,CQC,Central Queensland Aviation College,,Australia,
1950,,CSI,Central Skyport,SKYPORT,United States,
1951,,CLW,Centralwings,CENTRALWINGS,Poland,
1952,,DTV,Centre Airlines,DUTCH VALLEY,United States,
1953,,CGS,Centre of Applied Geodynamica,GEO CENTRE,Russia,
1954,J7,CVC,Centre-Avia,AVIACENTRE,Russia,
1955,,CCV,Centro De Helicopteros Corporativos,HELICORPORATIVO,Mexico,
1956,,ACF,Centro de Formación Aeronáutica de Canarias,FORCAN,Spain,
1957,WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,United States,
1958,,URY,Century Aviation,CENTURY AVIA,Mexico,
1959,,HAI,Century Aviation International,,Canada,
1960,,XAD,Certified Air Dispatch,,United States,
